"taxonID"|"Name"
74164|"Mangabé Sanje"
43467|"Mangabé à collier blanc"
43467|"Mangabey Enfum"
43480|"Ascagne"
43477|"Moustac Bleu"
43484|"Moustac à oreilles rousses"
43485|"Hocheur"
43488|"Hocheur Du Ghana"
43279|"Bandicoot à pieds de cochon"
43550|"Cheirogale Moyen"
43550|"Petit Cheirogale"
74185|"Chinchilla A Queue Courte"
74185|"Chinchilla"
43818|"Chinchilla A Longue Queue"
43818|"Chinchilla"
45459|"Campagnol Des Neiges"
42700|"Yapock"
43523|"Grivet d'Ethiopie"
74192|"Hippopotame Nain"
74192|"Hippopotame Pygm"
47101|"Unau d'Hoffmann"
42091|"Loup à Crinière"
43525|"Colobe d’Angola"
43526|"Colobe Blanc Et Noir D'Afrique Occidentale"
43526|"Colobe Magistrat"
45836|"Grand Hamster"
46603|"Crocidure des Canaries"
46663|"Crocidure Leucode"
46640|"Crocidure Commune"
46640|"Crocidure Musette"
46746|"Crocidure De Sicile"
46631|"Crocidure Des Jardins"
46653|"Crocidure De Zimmermann"
74257|"Agouti"
42101|"Chien Sauvage d'Asie"
42101|"Cuon d'Asie"
41590|"Civette-loutre de Sumatra"
46176|"Chien de Prairie du Mexique"
42276|"Damalisque"
42276|"Sassaby"
74270|"Rat Marsupial"
40222|"Rat Marsupial"
40195|"Petit Rat Marsupial Roux"
43712|"Agouti ponctué"
40249|"Rat Marsupial"
40168|"Chat Marsupial De Nlle-guin"
40169|"Chat Marsupial De Geoffroy"
40170|"Chat Marsupial Du Nord"
40166|"Chat marsupial à queue tachetée"
40171|"Chat marsupial bronzé"
40167|"Chat marsupial moucheté"
41461|"Dauphin Blanc"
41461|"Marsouin Blanc"
41526|"Dauphin Commun"
43092|"Daman d’arbre du sud"
42915|"Dendrolague De Bennett"
42903|"Dendrolague Gris"
42909|"Dendrolague de Lumholtz"
42912|"Dendrolague Noir"
42649|"Sarigue Australe"
42652|"Opossum de Virginie"
45683|"Campagnol De Martino"
43232|"Opossum Austral"
41860|"Loutre de Mer"
40500|"Sérotine de Botta"
74315|"Âne sauvage d'Afrique"
43333|"Âne Sauvage d'Asie"
43333|"Onagre"
43333|"Turkmene"
43338|"Âne Sauvage du Tibet"
43042|"Hérisson commun"
43462|"Patas"
41478|"Baleine"
41478|"Baleine grise"
41571|"Baleine Australe"
41570|"Baleine De Biscaye"
41570|"Baleine Des Basques"
43613|"Maki Brun"
43609|"Maki Noir"
43611|"Maki Mongoz"
43573|"Galago mignon du sud"
41961|"Chat de Jungle"
